name	url	our_price	list_price	ingredients	%_protein_min	%_fat_min	%_fiber_max	%_moisture_max	item_number	weight	lifestage	food_form	special_diet	packaging_type	food_texture	brand	breed_size	dimensions	small_pet_type	%_misc_components	kcal_per_kg	kcal_per_lb	kcal_per_oz	kcal_per_cup	kcal_per_item	item_volume_for_kcal	total_mass_lb	item_oz	item_count	moisture_warning	conversion_warning
Grandma Lucy's Simple Replacement Anti-Diarrhea Freeze-Dried Dog & Cat Meal Replacement, 7-oz bag	https://www.chewy.com/grandma-lucys-simple-replacement-anti/dp/46092	12.99	14.29	USDA Freeze-Dried Chicken, White Rice.	37.0	7.0	1.0	5.0	61110.0	7.04	adult	freeze-dried	pea-free non-gmo limited ingredient diet grain-free gmo-free natural sensitive digestion				small breeds medium breeds large breeds all breeds			0.0								7.0	1.0		
Wellness Complete Health Chicken & Rice Indoor Dry Cat Food, 6-lb bag	https://www.chewy.com/wellness-complete-health-chicken-rice/dp/146730	21.49		Deboned Chicken, Chicken Meal, Rice, Barley, Oats, Chicken Fat (preserved with Mixed Tocopherols), Ground Flaxseed, Tomato Pomace, Natural Chicken Flavor, Cranberries, Chicory Root Extract, Potassium Chloride, Choline Chloride, Taurine, Calcium Chloride, Vitamin E Supplement, Zinc Proteinate, Mixed Tocopherols added to preserve freshness, Glucosamine Hydrochloride, Chondroitin Sulfate, Zinc Sulfate, Calcium Carbonate, Niacin, Iron Proteinate, Ferrous Sulfate, Vitamin A Supplement, Ascorbic Acid (Vitamin C), Copper Sulfate, Thiamine Mononitrate, Copper Proteinate, Manganese Proteinate, Manganese Sulfate, d-Calcium Pantothenate, Sodium Selenite, Pyridoxine Hydrochloride, Riboflavin, Dried Kelp, Yucca Schidigera Extract, Vitamin D3 Supplement, Biotin, Calcium Iodate, Vitamin B12 Supplement, Folic Acid, Dried Lactobacillus plantarum Fermentation Product, Dried Enterococcus faecium Fermentation Product, Dried Lactobacillus casei Fermentation Product, Dried Lactobacillus acidophilus Fermentation Product, Rosemary Extract, Green Tea Extract, Spearmint Extract.	38.0	18.0	3.0	10.0	119542.0		adult	dry food	no corn no wheat no soy			wellness complete health wellpet				2.325	3952.0			458.0			6.0		1.0		
Evanger's Grain-Free Duck Canned Dog & Cat Food, 6-oz, case of 24	https://www.chewy.com/evangers-grain-free-duck-canned-dog/dp/37759	57.28	58.61	Duck, Water Sufficient for Processing, Liver, Guar Gum.	10.0	5.0	1.5	78.0	52616.0		adult	wet food	no corn no wheat no soy grain-free gluten free limited ingredient diet pea-free	can	pate		small breeds medium breeds large breeds all breeds			0.45					195.0			6.0	24.0		
Solid Gold Flavorful Feast in Gravy with Real Salmon & Beef Recipe Grain-Free Canned Cat Food, 3-oz, case of 12	https://www.chewy.com/solid-gold-flavorful-feast-in-gravy/dp/126901	16.68	17.88	Salmon, Whitefish, Beef Liver, Salmon Broth, Beef, Pumpkin, Spinach, Guar Gum, Carrots, Potassium Chloride, Salt, Xanthan Gum, Cassia Gum, Alfalfa Meal, Flaxseed, Choline Chloride, Taurine, Iron Proteinate, Zinc Proteinate, Thiamine Mononitrate, Vitamin E Supplement, Copper Proteinate, Manganese Proteinate, Sodium Selenite, Niacin Supplement, D-Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin A Supplement, Biotin, Potassium Iodide, Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid	10.0	5.0	1.5	82.0	99352.0		adult	wet food	grain-free gluten free no corn no wheat no soy pea-free	can	pate					0.0					88.0			3.0	12.0		
Tender & True Limited Ingredient Ocean Whitefish & Potato Recipe Grain-Free Dry Cat Food, 7-lb bag	https://www.chewy.com/tender-true-limited-ingredient-ocean/dp/142607	25.99	28.46	Whitefish, Chicken Meal, Whitefish Meal, Dried Potato, Tapioca Starch, Chicken Fat (Preserved With Mixed Tocopherols), Dried Beet Pulp, Flaxseed Meal, Potato Starch, Chicken Liver Digest Meal, Chicken Liver Meal, Chicken Liver, Salt, Choline Chloride, Taurine, Potassium Chloride, Ascorbic Acid, Vitamin E Supplement, Zinc Proteinate, Zinc Sulfate, Manganous Oxide, Manganese Proteinate, Inositol, Ferrous Sulfate, Niacin, Vitamin B12 Supplement, Zinc Oxide, Iron Proteinate, Thiamine Mononitrate, Biotin, Riboflavin Supplement, Calcium Pantothenate, Pyridoxine Hydrochloride, Sodium Selenite, Copper Sulfate, Vitamin A Supplement, Copper Proteinate, Citric Acid (Preservative), Vitamin D3 Supplement, Folic Acid, Potassium Iodide.	30.0	17.0	3.25	10.0	115349.0		adult	dry food	grain-free no corn no wheat no soy pea-free limited ingredient diet							2.6000000000000005	3750.0			375.0			7.0		1.0		
KASIKS Wild Coho Salmon Formula Grain-Free Canned Cat Food, 12.2-oz, case of 12	https://www.chewy.com/kasiks-wild-coho-salmon-formula-grain/dp/141422	40.19	44.65	Boneless/Skinless Salmon, Water Sufficient For Processing, Pea Starch, Sodium Chloride, Calcium Carbonate, Dicalcium Phosphate, Potassium Chloride, Choline Chloride, Taurine, Kale, Minerals: (Zinc Proteinate, Iron Proteinate, Copper Proteinate, Manganese Proteinate, Calcium Iodate), Vitamins: (Vitamin E Supplement, Niacin, Vitamin A Supplement, Thiamine Mononitrate, Riboflavin, Biotin, Vitamin B12 Supplement, D-Pantothenic Acid, Folic Acid, Vitamin D3 Supplement), Blueberries, Raspberries, Cranberries, Coconut.	13.0	3.5	0.2	78.0	114140.0		adult	wet food	grain-free gluten free limited ingredient diet no corn no wheat no soy	can	pate	firstmate				2.75					134.0			12.2	12.0		
OrgaNOMics Lamb & Beef Dinner Organic Grain-Free Pate Wet Cat Food, 5.5-oz can, case of 24	https://www.chewy.com/organomics-lamb-beef-dinner-organic/dp/204726	50.15		Lamb, Beef, (Filtered) Water Sufficient for Processing, Organic Carrots, Organic Peas, Organic Sweet Potatoes, Liver, Organic Guar Gum, Organic Egg, Organic Coconut Oil, Organic Vegetable Oil, Taurine, Vitamins (Vitamin E Supplement, Niacinamide, L-Ascorbyl- 2-Polyphosphate, Thiamine Mononitrate, Calcium Pantothenate, Vitamin A Acetate, Folic Acid, Riboflavin, Biotin, Pyridoxine hydrochloride, Vitamin B12 Supplement, Vitamin D3 Supplement), Minerals (Calcium Carbonate, Zinc Sulfate, Ferrous Sulfate, Zinc Proteinate, Copper Sulfate, Potassium Iodide, Copper Proteinate, Sodium Selenite, Manganese Sulfate, Manganese Proteinate).	11.0	6.0	1.5	78.0	178045.0		adult	wet food	organic indoor limited ingredient diet gluten free weight control non-gmo	can	pate					3.0	863.0				134.0			5.5	24.0		
Tender & True Limited Ingredient Salmon & Sweet Potato Recipe Grain-Free Dry Cat Food, 3-lb bag	https://www.chewy.com/tender-true-limited-ingredient-salmon/dp/182774	9.55	14.99	Salmon, Whiting Meal, Dried Sweet Potato, Tapioca Starch, Dried Potato, Pea Flour, Flaxseed Meal, Dried Peas, Coconut Oil, Dried Beet Pulp, Potato Starch, Fish Oil (Preserved With Mixed Tocopherols), Potato Flour, Canola Oil, Natural Flavors, Sodium Phosphate, Lecithin, Mixed Tocopherols With Rosemary (Preservatives), Choline Chloride, Taurine, Potassium Chloride, Salt, Ascorbic Acid, Vitamin E Supplement, Zinc Proteinate, Zinc Sulfate, Manganous Oxide, Manganese Proteinate, Inositol, Ferrous Sulfate, Niacin, Vitamin B12 Supplement, Zinc Oxide, Iron Proteinate, Thiamine Mononitrate, Biotin, Riboflavin Supplement, Calcium Pantothenate, Pyridoxine Hydrochloride, Sodium Selenite, Copper Sulfate, Vitamin A Supplement, Copper Proteinate, Citric Acid (Preservative), Vitamin D3 Supplement, Folic Acid, Potassium Iodide.	30.0	16.0		10.0	156016.0	3.0	adult	dry food	grain-free no corn no wheat no soy limited ingredient diet non-gmo							4.05	4700.0			470.0			3.0		1.0		
Lotus Sardine and Herring Grain-Free Dry Cat Food, 5-lb bag	https://www.chewy.com/lotus-sardine-herring-grain-free-dry/dp/180561	26.99		"Sardine, Herring, Herring Meal, Peas, Lentils, Catfish Oil (Preserved with Mixed Tocopherols and Citric Acid), Tapioca, Natural Flavor, Ground Flaxseed, Pea Fiber, Brewers Dried Yeast, Calcium Propionate, Carrots, Apples, Dicalcium Phosphate, Choline Chloride, Calcium Sulfate, Salt, Kelp, Spinach, Pumpkin, Blueberries, Taurine, Vitamin E Supplement, New Zealand Green Mussels, Yucca schidigera Extract, Inulin,
L-Ascrobyl-2-Polyphosphate, Iron Sulfate, DL Methionine, Zinc Sulfate, Zinc Proteinate, Potassium Chloride, Niacin, Manganese Proteinate, Cupper Sulfate, Copper Proteinate, Vitamin A Supplement, Manganese Sulfate, Thiamine Mononitrate, Calcium Pantothenate, Pyridixoine Hydrochloride, Biotin, Riboflavin Supplement, Vitamin B12 Supplement, Vitamin D3 Supplement, Calcium Iodate, Folic Acid, Selenium Selenite, Rosemary Extract"	34.0	14.0	5.0	10.0	153790.0	5.0	adult	dry food	grain-free low glycemic limited ingredient diet no corn no wheat no soy gmo-free human-grade							8.17							5.0		1.0		
FirstMate Grain Friendly Indoor Cat Formula Cat Food, 13.2-lb bag	https://www.chewy.com/firstmate-grain-friendly-indoor-cat/dp/229054	34.4		Chicken Meal, Ocean Fish Meal,  Oatmeal,  Brown Rice,  Chicken Fat (Preserved with Mixed Tocopherols), Phosphoric acid,  DL Methionine,  Choline Chloride, Dicalcium Phosphate,  Taurine,  Calcium Propionate,  Blueberries, Raspberries,  Cranberries,  Minerals  (Zinc Proteinate  Iron Proteinate  Calcium Carbonate  Manganese Proteinate  Copper Proteinate  Sodium selenite  Calcium Iodate),  Vitamins  (Vitamin E Supplement  Niacin  Thiamine mononitrate  D-pantothenic Acid  Vitamin A Supplement  Riboflavin  Pyridoxine Hydrochloride  Biotin  Vitamin B12 Supplement  Vitamin D3 Supplement  Folic Acid ),  Kale,  Yeast Extract.	35.0	12.0	4.0	10.0	202431.0	13.2	adult	dry food	grain-free high-protein pea-free no corn no wheat no soy flax-free indoor							12.25	3295.0			511.0			13.2		1.0		
Farmina Natural & Delicious Ocean Small Tuna, Cod & Shrimps Canned Cat Food, 2.8-oz can, case of 12	https://www.chewy.com/farmina-natural-delicious-ocean-small/dp/223683	22.08		Tuna, Cod, Herring, Sweet Potatoes, Shrimp, Herring Oil, Fructooligosaccharide, Calcium Carbonate, Potassium Chloride, Vitamin A Supplement, Vitamin D3 Supplement, Vitamin E Supplement, Menadione Sodium Bisulfite Complex, Choline Chloride, Zinc Methionine Hydroxy Analogue Chelate, Manganese Methionine Hydroxy Analogue Chelate, Ferrous Glycine Complex, Copper Methionine Hydroxy Analogue Chelate, DL-Methionine, Taurine, L-Carnitine.	11.8	4.5	0.6	80.0	197054.0	2.8	adult	wet food	non-gmo gmo-free gluten free low glycemic grain-free natural	can						2.9	1105.0				88.4			2.8	12.0		
AvoDerm Natural Grain-Free Salmon Recipe in Gravy Cat Food Pouches, 3-oz, case of 24	https://www.chewy.com/avoderm-natural-grain-free-salmon/dp/114713	27.25	35.76	Water Sufficient for Processing, Salmon (Source of Omega 3), Chicken, Sardine, Pea Pulse Protein, Tapioca Starch, Guar Gum, Tricalcium Phosphate, Avocado Oil, Sunflower Oil, Taurine, Potassium Chloride, Choline Chloride, Vitamins (Vitamin E Supplement, Niacin Supplement, Thiamine Mononitrate, Vitamin A Supplement, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Calcium Pantothenate, Riboflavin Supplement, Biotin, Vitamin D3 Supplement, Folic Acid, Menadione Sodium Bisulfite Complex (Source of Vitamin K)), Minerals (Ferrous Sulfate Monohydrate, Zinc Oxide, Manganese Sulfate Monohydrate, Copper Amino Acid Complex, Sodium Selenite, Potassium Iodide), Magnesium Oxide.	8.0	2.0	1.5	82.0	86939.0		adult	wet food	gluten free grain-free no corn no wheat no soy	pouch	chunks in gravy	breeder's choice				3.15	624.0				53.1			3.0	24.0		
Nature's Logic Feline Sardine Meal Feast All Life Stages Dry Cat Food, 3.3-lb bag	https://www.chewy.com/natures-logic-feline-sardine-meal/dp/113552	14.34		Sardine Meal, Millet, Chicken Fat (Preserved With Mixed Tocopherols), Pumpkin Seed, Yeast Culture, Alfalfa Nutrient Concentrate, Montmorillonite Clay, Dried Kelp, Spray Dried Porcine Plasma, Dried Tomato, Almonds, Dried Chicory Root, Dried Carrot, Dried Apple, Dried Pumpkin, Dried Apricot, Dried Blueberry, Dried Spinach, Dried Broccoli, Dried Cranberry, Parsley, Dried Artichoke, Rosemary, Dried Mushroom, Dried Lactobacillus Acidophilus Fermentation Product, Dried Lactobacillus Casei Fermentation Product, Dried Bifidobacterium Bifidium Fermentation Product, Dried Enterococcus Faecium Fermentation Product, Dried Bacillus Coagulans Fermentation Product, Dried Pineapple Extract, Dried Aspergillus Niger Fermentation Extract, Dried Aspergillus Oryzae Fermentation Extract, Dried Trichoderma Longibrachiatum Fermentation Extract.	38.0	16.0	5.0	9.0	85767.0	3.3	adult	dry food	high-protein no corn no wheat no soy gluten free pea-free natural							0.0				457.37			3.3		1.0		kcal/product required a conversion between mass and volume
Dave's Pet Food Cat’s Meow 95% Turkey & Turkey Liver Canned Cat Food, 5.5-oz, case of 24	https://www.chewy.com/daves-pet-food-cats-meow-95-turkey/dp/176483	43.99		Turkey, Water (Sufficient For Processing), Turkey Liver, Turkey Heart, Guar Gum, Salt, Potassium Chloride, Brewers Dried Yeast, Agar Agar, Minerals (Iron Amino Acid Chelate, Zinc Amino Acid Chelate, Copper Amino Acid Chelate, Manganese Amino Acid Chelate, Sodium Selenite, Potassium Iodide), Choline Chloride, Vitamins ( Vitamin E Supplement, Thiamine Mononitrate, Niacin Supplement, D-Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin A Supplement, Biotin, Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid), Natural Flavor, Taurine, Sodium Carbonate.	8.0	5.0	1.5	78.0	149664.0	10.55	adult	wet food	grain-free pea-free	can	pate					0.0	1221.0				190.0			5.5	24.0		
Evolve Classic Kitten Turkey Recipe Canned Cat Food, 5.5-oz, case of 24	https://www.chewy.com/evolve-classic-kitten-turkey-recipe/dp/107580	26.37		Turkey, Turkey Broth, Turkey Liver, Chicken, Ocean Whitefish, Dried Egg Product, Brown Rice, Cranberries, Peas, Carrots, Guar Gum, Potassium Chloride, Taurine, Ground Flaxseed, Natural Flavor, Salt, Choline Chloride, Minerals (Iron Amino Acid Chelate, Zinc Amino Acid Chelate, Copper Amino Acid Chelate, Manganese Amino Acid Chelate, Sodium Selenite, Potassium Iodide), Vitamins (Thiamine Mononitrate, Vitamin E Supplement, Niacin Supplement, D-Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin A Supplement, Biotin, Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid), Magnesium Sulfate, Inulin, Carrageenan, Brewers Dried Yeast, Yucca Schidigera Extract.	11.0	7.0	1.0	78.0	79747.0		kitten	wet food		can	pate					3.6300000000000003	1316.0				205.0			5.5	24.0		
Wysong Geriatrx Dry Cat Food, 5-lb bag	https://www.chewy.com/wysong-geriatrx-dry-cat-food/dp/50948	15.62	15.89	Chicken Meal, Chicken, Turkey Meal, Brown Rice, Peas, Oat Groats, Potato Protein, Chicken Fat (preserved with Mixed Tocopherols), Flaxseeds, Dried Plain Beet Pulp, Natural Flavor, Sesame Seeds, Montmorillonite Clay, Crab Meal, Dried Whey, Salt, Taurine, Calcium Carbonate, Colostrum, Dried Tomato Pomace, Calcium Propionate (a preservative), Chicken Cartilage, Choline Chloride, Organic Barley Grass Powder, Dried Blueberry Powder, Dried Kelp, Dried Yogurt, Yeast Extract, Citric Acid (a preservative), Dried Kale, Dried Spinach, Dried Carrots, Apple Pectin, Fish Oil, Mixed Tocopherols (a preservative), Rosemary Extract, Inulin, Yeast Culture, Minerals (Potassium Chloride, Zinc Proteinate, Zinc Sulfate, Ferrous Sulfate, Iron Proteinate, Copper Sulfate, Copper Proteinate, Manganese Sulfate, Manganese Proteinate, Sodium Selenite, Calcium Iodate), Vitamins (Ascorbic Acid [source of Vitamin C], Vitamin E Supplement, Niacin Supplement, Calcium Pantothenate, Vitamin A Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin D3 Supplement, Biotin, Vitamin B12 Supplement, Folic Acid), Dried Aspergillus Oryzae Fermentation Product, Dried Enterococcus Faecium Fermentation Product, Dried Lactobacillus Casei Fermentation Product, Dried Lactobacillus acidophilus Fermentation Product, Dried Bacillus Subtilis Fermentation Product, Dried Lactobacillus Plantarum Fermentation Product, Dried Lactobacillus Lactis Fermentation Product, Pepper.	34.0	15.0	6.0	10.0	65998.0	5.0	adult	dry food	n/a							0.2							5.0		1.0		
Scrumptious From Scratch Scrumptious Pumpkin Puree Canned Cat Food, 2.8-oz, case of 12	https://www.chewy.com/scrumptious-from-scratch-scrumptious/dp/252940	15.48		Pumpkin, Purified Water	0.5	0.05	3.5	95.0	226416.0	2.1	adult	wet food	grain-free gluten free gmo-free high fiber no corn no wheat no soy	can	pate					3.0					15.0			2.8	12.0		
Health Extension Grain-Free Tilapia & Tuna Recipe Canned Cat Food, 2.8-oz, case of 24	https://www.chewy.com/health-extension-grain-free-tilapia/dp/137857	28.56		Tilapia Broth, Tilapia, Tuna, Sunflower Oil, Tapioca Starch, Tricalcium Phosphate, Guar Gum, Coconut Oil, Apple Cider Vinegar, Choline Chloride, Potassium Chloride, Magnesium Sulfate, Taurine, Zinc Proteinate, Iron Proteinate, Vitamin E Supplement, Thiamine Mononitrate, Manganese Proteinate, Niacin, Vitamin A Supplement, Copper Proteinate, Calcium Iodate, Calcium Pantothenate, Sodium Selenite, Riboflavin Supplement, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Folic Acid, Biotin, Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity).	10.0	2.0	1.0	84.0	110491.0	7.0	adult	wet food	grain-free gluten free no corn no wheat no soy pea-free non-gmo	can	pate	vets choice		11.25		2.0					108.0			2.8	24.0		
Addiction Grain-Free Viva La Venison Dry Cat Food, 4-lb bag	https://www.chewy.com/addiction-grain-free-viva-la-venison/dp/45085	15.99	17.55	Venison Meal, Dried Potatoes, Dried Tapioca, Chicken Fat (Preserved with Mixed Tocopherols), Peas, Natural Flavors, Dried Kelp, Dried Cranberries, Dried Apples, Dried Spinach, Brewers Dried Yeast, Dried Enterococcus Faecium, Dried Lactobacillus Acidophilus, Dried Bifidobacterium Longum, Dried Bifidobacterium Thermophilum, Vitamin E Supplement, Niacin (Vitamin B3), Calcium Pantothenate (Vitamin B5), Vitamin A Supplement, Thiamine Mononitrate (Vitamin B1), Riboflavin Supplement, Pyridoxine Hydrochloride (Vitamin B6), Biotin (Vitamin B7), Vitamin B12 Supplement, Vitamin D3 Supplement, Folic Acid (Vitamin B9), Sodium Chloride, Taurine, Choline Chloride, Magnesium Sulfate, Zinc Sulfate, Ferrous Sulfate, Calcium Carbonate, Copper Sulfate, Manganese Sulfate, Calcium Iodate, Cobalt Sulfate, Sodium Selenite, Green Tea Extract, Rosemary Extract.	30.0	15.0	3.5	11.0	60092.0	4.0	adult	dry food	grain-free sensitive digestion high-protein no corn no wheat no soy							11.0	3710.0						4.0		1.0	% moisture max estimated	
Petite Cuisine L'il Violet's Tuna, Pumpkin & Tilapia Entrée in Broth Grain-Free Wet Cat Food, 2.8-oz can, case of 24	https://www.chewy.com/petite-cuisine-lil-violets-tuna/dp/227174	25.35	28.56	Tuna, Tuna Broth, Pumpkin, Tilapia, Sunflower Oil, Tapioca Starch, Tricalcium Phosphate, Cranberry, Xanthan Gum, Taurine, Magnesium Sulfate, Zinc Oxide, Reduced Iron, Vitamin E Supplement, Sodium Selenite, Niacin Supplement, Manganese Sulfate, Thiamine Mononitrate, Vitamin A Supplement, Copper Amino Acid Complex, Vitamin B12 Supplement, Pyridoxine Hydrochloride (Vitamin B6), Calcium Pantothenate, Riboflavin Supplement (Vitamin B2), Biotin Supplement (Vitamin B7), Potassium Iodide, Vitamin D3 Supplement, Folic Acid, Menadione Sodium Bisulfite Complex.	11.0	2.0	0.5	85.0	200546.0	4.2	adult	wet food	grain-free high-protein no corn no wheat no soy	can	shredded					0.0	807.0				64.0			2.8	24.0		
Solid Gold Triple Layer Mousse and Shreds with Real Beef & Pumpkin Wet Cat Food, 2.75-oz, case of 6	https://www.chewy.com/solid-gold-triple-layer-mousse-shreds/dp/177735	8.94	10.74	Chicken, Beef, Tuna, Pumpkin, Whole Egg, Egg White, Water Sufficient For Processing, Tapioca Starch, Tricalcium Phosphate, Sunflower Oil, Calcium Sulfate, Magnesium Sulfate, Salt, Natural Antioxidant, Taurine, Carob Bean Gum, Xanthan Gum, Guar Gum, Vitamin E Supplement, Zinc Oxide, Reduced Iron, Niacin Supplement, Potassium Chloride, Thiamine Mononitrate, Vitamin A Supplement, Sodium Selenite, Manganese Sulfate Monohydrate, Vitamin B12 Supplement, Copper Amino Acid Complex, Pyridoxine Hydrochloride, Calcium Pantothenate, Riboflavin Supplement, Biotin Supplement, Vitamin D3 Supplement, Folic Acid, Potassium Iodide, Menadione Sodium Bisulfite Complex (Source of Vitamin K).	12.0	2.0	1.0	78.0	150938.0	1.3825	adult	wet food	grain-free gluten free no corn no wheat no soy pea-free	tray	shredded pate					0.0					87.0			2.75	6.0		
Dave's Pet Food Naturally Healthy Grain-Free Ahi Tuna Dinner with Chicken Canned Cat Food, 5.5-oz, case of 24	https://www.chewy.com/daves-pet-food-naturally-healthy/dp/121376	34.99		Ahi Tuna, Water Sufficient for Processing, Chicken, Calcium Sulfate, Sunflower Oil, Tricalcium Phosphate, Potato Starch, Minerals (Ferrous Sulfate Monohydrate, Zinc Oxide, Manganese Sulfate Monohydrate, Copper Glycine Complex, Sodium Selenite, Potassium Iodide), Vitamins (Vitamin E Supplement, Niacin Supplement, Thiamine Mononitrate, Vitamin A Supplement, Vitamin B12 Supplement, Vitamin D3 Supplement, Calcium Pantothenate, Riboflavin Supplement, Pyridoxine Hydrochloride, Biotin Supplement, Folic Acid, Vitamin K3 Supplement (Menadione Sodium Bisulfate)), Choline Chloride, Potassium Chloride, Taurine, Magnesium Sulfate.	16.0	2.0	1.5	76.0	93770.0		adult	wet food	gluten free grain-free pea-free	can	shredded					9.0	900.0							5.5	24.0		kcal/product required a conversion between mass and volume
Lotus Just Juicy Pollock Stew Grain-Free Canned Cat Food, 2.5-oz, case of 24	https://www.chewy.com/lotus-just-juicy-pollock-stew-grain/dp/109977	47.04	47.76	Pollock, Pollock Broth, Carrots, Salmon Oil, Potato Starch, Olive Oil, Sunflower Oil, Monosodium Phosphate, Calcium Carbonate, Potassium Chloride, Salt, Choline Chloride, Agar-Agar, Taurine, Zinc Proteinate, Iron Proteinate, Vitamin E Supplement, Niacin, Manganese Proteinate, Thiamine Mononitrate,  Copper Proteinate, Calcium Pantothenate, Riboflavin, Vitamin A Supplement, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Biotin, Potassium Iodide, Folic Acid, Vitamin D3 Supplement, Sodium Selenite.	7.0	3.0	0.5	82.0	82153.0		adult	wet food	grain-free limited ingredient diet pea-free gmo-free	can	stew					0.0	753.0				52.7			2.5	24.0		
Chicken Soup for the Soul Salmon & Chicken Recipe Cuts in Gravy Grain-Free Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/chicken-soup-soul-salmon-chicken/dp/232909	28.63	30.96	Salmon Broth, Salmon, Chicken, Chicken Liver, Dried Egg White, Potato Starch, Spinach, Broccoli, Carrots, Natural Flavor, Dried Egg Product, Salt, Sodium Phosphate, Potassium Chloride, Cranberries, Guar Gum, Minerals (Iron Amino Acid Chelate, Zinc Amino Acid Chelate, Copper Amino Acid Chelate, Manganese Amino Acid Chelate, Sodium Selenite, Potassium Iodide), Carrageenan, Choline Chloride, Vitamins (Thiamine Mononitrate, Vitamin E Supplement, Niacin Supplement, D-Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin A Supplement, Biotin, Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid), Taurine.	9.0	2.0	1.0	82.0	206307.0	4.5	adult	wet food	grain-free	can	chunks in gravy					0.05	928.0				77.0			3.0	24.0		
Lotus Pork Pate Grain-Free Canned Cat Food, 2.75-oz, case of 24	https://www.chewy.com/lotus-pork-pate-grain-free-canned-cat/dp/129419	31.92	33.36	Pork, Pork Broth, Pork Liver, Pork Liver Broth, Peas, Natural Flavor, Agar Agar, Tricalcium Phosphate, Clams, Blueberries, Cranberries, Carrots, Whole Ground Flaxseed Meal, Eggs, Asparagus, New Zealand Green Mussel, Olive Oil, Salmon Oil, Salt, Sodium Tripolyphosphate, Kelp, Potassium Chloride, Calcium Sulfate, Taurine, Choline Chloride, Betaine, Zinc Proteinate, Iron Proteinate, Niacin, Vitamin E Supplement, Thiamine Mononitrate, Copper Proteinate, Manganese Proteinate, Sodium Selenite, Calcium Pantothenate, Vitamin A Supplement, Riboflavin, Pyridoxine Hydrochloride, Biotin, Vitamin B Supplement, Calcium Iodate, Vitamin D Supplement, Folic Acid.	9.0	5.0	1.0	78.0	101906.0		adult	wet food	grain-free limited ingredient diet gmo-free	can	pate					2.0	1107.0							2.75	24.0		kcal/product required a conversion between mass and volume
Almo Nature HQS Natural Mackerel in Broth Grain-Free Canned Cat Food, 2.47-oz, case of 24	https://www.chewy.com/almo-nature-natural-mackerel-in-broth/dp/121186	33.35	38.16	Mackerel, Water Sufficient for Cooking.	15.0	0.5	1.0	83.0	93577.0	3.705	adult	wet food	gluten free grain-free no corn no wheat no soy limited ingredient diet pea-free	can	minced					3.0	560.0							2.47	24.0		kcal/product required a conversion between mass and volume
Annamaet Grain-Free Feline Sustain No. 29 Fish Formula Dry Cat Food, 4-lb bag	https://www.chewy.com/annamaet-grain-free-feline-sustain-no/dp/177908	19.99		Cod Heads, Turkey Meal, Whitefish Meal, Chickpeas, Tapioca, Green Peas, Chicken Fat (Preserved with Mixed Tocopherols (Vitamin E)), Egg Product, Pea Protein Isolate, Menhaden Oil (Preserved with Mixed Tocopherols (Vitamin E)), Dried Cranberry Powder, Dried Blueberry Powder, Algae Meal, Natural Flavoring, Lecithin, Potassium Chloride, Choline Chloride, Turmeric, Taurine, Magnesium Sulfate, Sodium Chloride, DL Methionine, L Lysine, Oligofructose, Lactobacillus Acidophilus Fermentation Product Dehydrated, Zinc Proteinate, Yucca Schidigera, Vitamin E Supplement, Iron Proteinate, Niacin Supplement, Thiamine Mononitrate, Manganese Proteinate, Biotin, Vitamin A Acetate, Pyridoxine Hydrochloride, Riboflavin Supplement, Copper Proteinate, d-Calcium Pantothenate, Vitamin B12 Supplement, Vitamin D3 Supplement, Folic Acid, Sodium Selenite, Calcium Iodate.	37.0	16.0	3.0	10.0	151114.0	4.0	adult	dry food	grain-free no corn no wheat no soy non-gmo sensitive digestion low glycemic human-grade indoor							17.8	3618.0	1641.0		458.0			4.0		1.0		
